image_url,store,product,price,likes,comments
https://static.slickdealscdn.com/attachment/1/4/6/8/5/8/8/200x200/9874141.thumb,,"HP Envy x360 15.6"" Touchscreen 2-in-1 Laptop - AMD Ryzen 7 4700U - 1080p - HP Digital Pen - $749.99",$749.99,12,25
https://static.slickdealscdn.com/attachment/4/2/5/1/3/3/8/200x200/9874927.thumb,,March Madness sale - - 50% Off Stream For Life Code Stream50%off,$4.99,0,4
https://static.slickdealscdn.com/attachment/2/1/4/3/3/4/8/9/200x200/9874729.thumb,,Check your email with the subject- “Don't miss your $10 reward at CVS® “ . YMMV!,,0,2
https://static.slickdealscdn.com/attachment/5/5/8/2/7/0/5/200x200/9873985.thumb,Walmart,"TP-Link Archer AX1800 4 Stream Dual-Band Wi-Fi 6 Router, 1.8 Gbps Speeds, 1.5 GHz Quad Core CPU @ $89.00 + F/S",$89,5,6
https://static.slickdealscdn.com/attachment/2/0/8/6/3/5/1/0/200x200/9873565.thumb,Costco Wholesale,Seagate 2.5” portable 5TB harddrive $90 @ Costco starting 3/10 $89.99,$89.99,50,40
https://static.slickdealscdn.com/attachment/9/2/1/2/0/200x200/9873595.thumb,Costco Wholesale,Costco Members: 3-Pack TP-Link Deco X60 WiFi 6 AX3000 Whole Home Mesh System,$230,44,118
https://static.slickdealscdn.com/attachment/2/3/7/1/0/5/0/200x200/9873730.thumb,Walmart,Razer DeathAdder V2 MINI Wired Gaming Mouse (YMMV) - $24.98,$24.98,20,21
https://static.slickdealscdn.com/attachment/3/2/5/3/5/5/200x200/9874708.thumb,,"Samsung Discount Programs: 128GB Galaxy Tab S7 11"" Tablet + Galaxy Buds+",from $420,75,253
https://static.slickdealscdn.com/attachment/1/7/0/7/9/6/200x200/9873868.thumb,Newegg,RFB- BUFFALO LS220DE Diskless System LinkStation 220 RAID NAS Personal Cloud Storage and Media Server FOR $79.99+FS,$79.99,4,15
https://static.slickdealscdn.com/attachment/2/5/0/5/1/4/200x200/9873934.thumb,Newegg,CORSAIR Carbide Series SPEC-OMEGA RGB Tempered Glass Mid-Tower Case (+450W PSU) @Newegg $130,$130,0,0
https://static.slickdealscdn.com/attachment/2/5/0/5/1/4/200x200/9873322.thumb,Amazon,CPU Cooling Fans: be quiet! PURE ROCK SLIM 92mm,$24.90,38,37
https://static.slickdealscdn.com/attachment/2/3/0/8/1/8/3/6/200x200/9873529.thumb,B&H Photo Video,"31.5"" Acer ET2 Series ET322QK 4K UHD VA VESA 3840 x 2160 60Hz (HDMI, DisplayPort) AMD FreeSync Gaming Monitor $294.95 With Free Shipping @ BHPhotoVideo.com",$294.95,3,4
https://static.slickdealscdn.com/images/avatar-17.png,Sam's Club,"HP 17.3"" 1080p Laptop - 11th Gen i5-1135G7 - 8GB RAM - 1TB HDD + 256GB SSD $649",$649,1,2
https://static.slickdealscdn.com/attachment/1/5/3/6/9/8/4/200x200/9871411.thumb,Walmart,Select Walmart Stores: Klipsch ProMedia 2.1 THX Computer Speakers,$69,280,373
https://static.slickdealscdn.com/images/avatar-17.png,Staples,"Intel Core i5-10600KF 4.8GHz Processor, 12MB $197.99",$197.99,2,4
